"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"nms28_c",119,339,0.448377581120944,0.498063135151055,0,0.435897435897436,0,0,1,1,0.206681188486993,-1.96304750771742,0.027051076271071
"nms29_c",120,339,0.587020648967552,0.493096996037649,1,0.608058608058608,0,0,1,1,-0.351914335658929,-1.88168090226444,0.0267813526186895
"nms30_c",121,339,0.330383480825959,0.471046456042266,0,0.289377289377289,0,0,1,1,0.718044571996479,-1.48877758770549,0.0255837316804273
"num_nms",122,339,11.6489675516224,5.94581727046307,11,11.2564102564103,5.9304,1,28,27,0.569610338360234,-0.0809730829641215,0.322932466038401
"dom1_n",123,339,1.28318584070796,0.640853164906376,1,1.35164835164835,0,0,2,2,-0.332082111945583,-0.71611154853003,0.0348063661390677
"dom2_n",124,339,1.93215339233038,1.18850451506014,2,1.91575091575092,1.4826,0,4,4,0.0040129294268114,-0.891147165361859,0.0645507045520511
"dom3_n",125,339,2.50147492625369,2.07175229732467,2,2.38095238095238,2.9652,0,6,6,0.303436783247107,-1.2401437825348,0.112522139171571
"dom4_n",126,339,0.43952802359882,0.772129776633328,0,0.271062271062271,0,0,3,3,1.68217251577809,1.90700826341663,0.0419363329762169
"dom5_n",127,339,1.33333333333333,1.19085933535724,1,1.29304029304029,1.4826,0,3,3,0.208051658013744,-1.48858745779075,0.0646786008346023
"dom6_n",128,339,1.19174041297935,1.02993202676317,1,1.11721611721612,1.4826,0,3,3,0.389814921379881,-1.01617026022962,0.0559382291996766
"dom7_n",129,339,1.56342182890855,1.14015781981193,2,1.57875457875458,1.4826,0,3,3,-0.0961515724102567,-1.40657295844446,0.0619248725072506
"dom8_n",130,339,0.398230088495575,0.690679577129367,0,0.252747252747253,0,0,2,2,1.4410823323144,0.586181177398029,0.0375125653781445
"dom9_n",131,339,1.7787610619469,1.10191747836679,2,1.75457875457875,1.4826,0,4,4,0.218410583316936,-0.604384905033288,0.0598479422547223
"domns",132,339,5.56342182890855,1.98021757118409,6,5.63003663003663,2.9652,1,9,8,-0.222574428421979,-0.729557098848471,0.107550655270179
"tremor",133,339,2.41592920353982,2.63474395099044,2,2,2.9652,0,12,12,1.25555469380833,1.35543172488594,0.143099648504139
"bradykin",134,339,2.43952802359882,1.5108192891634,2,2.35897435897436,1.4826,0,6,6,0.413078641423777,-0.449346883358442,0.0820564401149051
"rigidity",135,339,2.15339233038348,1.38677566393097,2,2.0952380952381,1.4826,0,6,6,0.534950228129257,-0.0287734584299773,0.07531931517976
"axial",136,339,3.51327433628319,2.87649640269103,3,3.19413919413919,2.9652,0,12,12,0.895801971153897,0.190430141724564,0.156229839333636
"pigd",137,339,3.58407079646018,2.78433593067623,3,3.31868131868132,2.9652,0,12,12,0.81954384787268,0.141105470299466,0.151224369581505
