"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"d3-loss_interest",44,558,1.32616487455197,2.55729252334708,0,0.712053571428571,0,0,12,12,2.41237681658955,5.92614288739453,0.108258825080572
"d3-loss_activities",45,558,1.74193548387097,2.93827545925595,0,1.05357142857143,0,0,12,12,1.98547808339231,3.34084768216223,0.124387118829016
"d3-anxiety",46,558,1.70967741935484,2.9309736196272,0,1.02901785714286,0,0,12,12,2.03228666414795,3.58721572328276,0.124078007308954
"d3-depression",47,558,1.78853046594982,2.9217953320289,0,1.14285714285714,0,0,12,12,1.94334671764877,3.34862387670838,0.123689459412078
"d3-flat_affect",48,558,0.973118279569892,2.14408994148746,0,0.428571428571429,0,0,12,12,2.79481683787306,8.40136965533755,0.0907665649562462
"d3-loss_pleasure",49,558,1.20250896057348,2.57947863556531,0,0.520089285714286,0,0,12,12,2.53657424723096,6.05686725285462,0.109198038103691
"d4-hallucination",50,558,0.562724014336918,1.78327793084318,0,0.0758928571428571,0,0,12,12,4.15507030234918,19.0413102012117,0.0754921745645736
"d4-delusion",51,558,0.344086021505376,1.48114146618624,0,0,0,0,12,12,5.26163479607739,30.1837380038037,0.0627017181036335
"d4-diplopia",52,558,0.577060931899642,1.7817075604908,0,0.0825892857142857,0,0,12,12,4.00302030343134,18.0055803026927,0.0754256954865104
"d5-loss_concentration",53,558,1.90501792114695,2.89615790489593,0,1.28794642857143,0,0,12,12,1.73830040389015,2.43875603072071,0.12260414057813
"d5-forget_explicit",54,558,1.86200716845878,2.83298554445679,0,1.25669642857143,0,0,12,12,1.8107247015605,2.84413777992618,0.119929841311905
"d5-forget_implicit",55,558,1.55017921146953,2.67715080133114,0,0.912946428571429,0,0,12,12,2.19872862254487,4.70367756109377,0.113332830589239
"d6-drooling",56,558,1.97670250896057,3.24042495955724,0,1.22767857142857,0,0,12,12,1.80950503569986,2.40682456204872,0.137178127132785
"d6-swallowing",57,558,0.937275985663082,2.11126952180746,0,0.372767857142857,0,0,12,12,2.83708545912655,8.2616390311019,0.0893771658003931
"d6-constipation",58,558,2.33691756272401,3.67598336193371,0,1.53348214285714,0,0,12,12,1.54772233023477,1.15991645567301,0.155616784605389
"d7-urinary_urgency",59,558,2.24731182795699,3.16904659409027,1,1.60714285714286,1.4826,0,12,12,1.51490349359976,1.55227923065079,0.134156439972995
"d7-urinary_frequency",60,558,2.28494623655914,3.35341770739407,0,1.59598214285714,0,0,12,12,1.52774886535126,1.43675662894024,0.141961491574578
"d7-nocturia",61,558,3.16845878136201,3.5783522467344,2,2.57589285714286,2.9652,0,12,12,1.12514805038427,0.349021674803494,0.151483729928895
"d8-sex_drive",62,558,2.02867383512545,3.47639932654846,0,1.1875,0,0,12,12,1.79900013263325,2.19467711799211,0.147167718658344
"d8-sex_dysfunction",63,558,2.21863799283154,3.7501229578584,0,1.36383928571429,0,0,12,12,1.60884506657103,1.2674917632389,0.158755363971449
"d9-unexplained_pain",64,558,1.28853046594982,2.78510612885405,0,0.537946428571429,0,0,12,12,2.60376028960325,6.26398607050566,0.117902944024491
"d9-taste_smell",65,558,2.07885304659498,3.38878985882435,0,1.33705357142857,0,0,12,12,1.62688901670906,1.66763238596708,0.143458914149217
"d9-weight_change",66,558,1.35125448028674,2.46598188275483,1,0.743303571428571,1.4826,0,12,12,2.78913915718779,7.87019760475548,0.104393337430011
"d9-sweating",67,558,1.34408602150538,2.8806091902183,0,0.560267857142857,0,0,12,12,2.41794099505947,5.14094828628991,0.121945910998547
"nms_d1",68,558,1.56989247311828,2.93091434117602,0,0.837053571428571,0,0,18,18,2.66769583598485,7.97013228920513,0.124075497852012
"nms_d2",69,558,8.18279569892473,8.58408142607355,5,6.80803571428571,7.413,0,48,48,1.40013062088193,1.87369756031469,0.363393143763772
"nms_d3",70,558,7.415770609319,10.3628549834824,3,5.24776785714286,4.4478,0,60,60,1.99526870621397,4.29539392721863,0.438694632995607
"nms_d4",71,558,1.48387096774194,3.62252945310553,0,0.497767857142857,0,0,33,33,3.43386889773333,15.3777910192821,0.153353900202111
