"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"cisicog",46,781,1.2842509603073,1.36009817085903,1,1.0864,1.4826,0,6,6,1.01966015730085,0.412146837349794,0.0486681389831118
"nms1",47,781,1.41357234314981,2.54584028069788,0,0.792,0,0,12,12,2.30479662208082,5.26511374443914,0.0910973275786067
"nms2",48,781,0.345710627400768,1.31200479331998,0,0.0112,0,0,12,12,5.24041713376812,32.9371192206452,0.0469472226313463
"nms3",49,781,1.87323943661972,2.89306214851335,0,1.2496,0,0,12,12,1.82160971813368,2.97636705444157,0.10352190286507
"nms4",50,781,3.12548015364917,3.7340606454331,1,2.4944,1.4826,0,12,12,1.09025008890836,0.0650645508555616,0.133615195106488
"nms5",51,781,2.35595390524968,3.63018767868659,0,1.5872,0,0,12,12,1.49684514201929,1.04279246503943,0.129898328125471
"nms6",52,781,1.35339308578745,2.72464147449095,0,0.632,0,0,12,12,2.29639967441888,4.70485406590185,0.0974953373225441
"nms7",53,781,1.46350832266325,2.71468229883066,0,0.7936,0,0,12,12,2.27111523608725,4.98070522784944,0.0971389699987895
"nms8",54,781,1.97823303457106,3.23336570726346,0,1.2176,0,0,12,12,1.79538816982318,2.34294813994632,0.115698921589562
"nms9",55,781,1.9628681177977,3.18327423265371,0,1.2304,0,0,12,12,1.85099913027835,2.68022593074599,0.113906507703264
"nms10",56,781,2.09475032010243,3.2646098593452,0,1.3632,0,0,12,12,1.70424985632002,2.07231123274332,0.116816925251726
"nms11",57,781,1.21254801536492,2.52340760385467,0,0.5616,0,0,12,12,2.54053705107687,6.34439610256647,0.090294623290225
"nms12",58,781,1.45454545454545,2.91671495131528,0,0.6832,0,0,12,12,2.29263071422455,4.56484627756001,0.104368266692894
"nms13",59,781,0.632522407170295,1.88840386096976,0,0.0944,0,0,12,12,3.75636663182303,15.3005927962721,0.0675724028831494
"nms14",60,781,0.41741357234315,1.69460803100264,0,0,0,0,12,12,4.87870145105027,25.2009040131727,0.0606378428717715
"nms15",61,781,0.604353393085788,1.89694261380818,0,0.0736,0,0,12,12,4.02561690688982,17.8064088694924,0.0678779434821935
"nms16",62,781,1.9449423815621,3.00739100712774,0,1.2816,0,0,12,12,1.75907097321763,2.46070156549701,0.107612911073184
